DOY,HOUR,MIN,Year,SEC,MSEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
322.0,11.0,29.5,2012.0,31.0,25.283333333333335,322.4791785349999,0.7376666666666665,3.4228333333333336,-0.28466666666666673,0.0,328708739.0533334,-0.5729333333333337,-0.24000000000000019,2.1972509295008913,3.5613290830817204,3.7544486379079576,143.8213563758546,65.7438938316027,78.07746254425192,143.8213563758546
322.0,12.0,29.5,2012.0,31.0,20.9,322.5208451549998,1.4209999999999998,3.3626666666666676,0.7116666666666667,0.0,328696971.98833334,-0.5718166666666663,-0.24000000000000019,2.197172272649286,6.859973615565222,6.859973615565222,132.83552202972456,65.74312558528861,67.09239644443596,132.83552202972456
322.0,13.0,29.5,2012.0,31.0,16.5,322.56251177333326,1.1690000000000003,3.2779999999999996,0.6731666666666667,0.0,328685198.2033333,-0.5707333333333336,-0.24000000000000019,2.1970935708778963,5.6430265642748045,5.6430265642748045,136.10723844126983,65.7423568544784,70.36488158679147,136.10723844126983
322.0,14.0,29.5,2012.0,31.0,12.083333333333334,322.6041783883333,1.1665,3.1975,0.8299999999999997,0.0,328673417.6933333,-0.5696333333333333,-0.24000000000000019,2.197014824153298,5.630556043585715,5.630556043585715,135.7182532552856,65.74158763876325,69.97666561652237,135.7182532552856
322.0,15.0,29.5,2012.0,31.0,7.733333333333333,322.6458450050001,0.6261666666666668,2.880499999999999,1.782333333333333,0.0,328661630.45333326,-0.5685500000000001,-0.24000000000000019,2.1969360324420677,3.0222116776090133,3.0222116776090133,143.50533673993024,65.7408179377344,77.76451880219592,143.50533673993024
322.0,16.0,29.5,2012.0,31.0,3.2666666666666666,322.6875116150001,0.6700000000000003,2.4611666666666663,2.1261666666666676,0.0,328649836.4899999,-0.5674499999999999,-0.24000000000000019,2.19685719578877,3.233543412802765,3.233543412802765,140.49581061933404,65.74004775174477,74.75576286758924,140.49581061933404
322.0,17.0,29.5,2012.0,30.366666666666667,632.2666666666667,322.7291782316669,0.9975000000000003,2.461666666666667,1.5568333333333335,0.0,328638035.79499996,-0.5663499999999998,-0.24000000000000019,2.196778314137701,4.813757720447933,4.813757720447933,133.88657704118677,65.7392770801678,68.14729996101894,133.88657704118677
322.0,18.0,29.5,2012.0,30.0,994.5333333333333,322.7708448500001,1.057666666666667,2.503666666666667,1.4138333333333335,0.0,328626228.38,-0.5652666666666669,-0.24000000000000019,2.1966993875668446,5.10375438608457,5.10375438608457,132.84623838566534,65.73850592368282,67.10773246198256,132.84623838566534
322.0,19.0,29.5,2012.0,30.0,990.0833333333334,322.8125114683332,0.6986666666666664,2.3679999999999994,1.7843333333333329,0.0,328614414.25166667,-0.5641666666666667,-0.24000000000000019,2.1966204161207665,3.371201601816291,3.371201601816291,139.9957533584056,65.73773428264278,74.25801907576285,139.9957533584056
322.0,20.0,29.5,2012.0,30.0,985.7666666666667,322.85417808499983,0.5796666666666668,2.2681666666666667,1.8026666666666666,0.0,328602593.37,-0.5630499999999997,-0.24000000000000019,2.196541399532086,2.796772807176235,2.796772807176235,141.4892278608951,65.73696215435241,75.7522657065427,141.4892278608951
322.0,21.0,29.5,2012.0,30.0,981.2666666666667,322.8958446949998,0.5446666666666666,2.041,1.9918333333333338,0.0,328590765.7766666,-0.5618833333333337,-0.24000000000000019,2.1964623380793227,2.627720111541699,2.627720111541699,140.6871050908876,65.7361895414506,74.95091554943698,140.6871050908876
322.0,22.0,29.5,2012.0,30.0,976.9333333333333,322.93751131166664,0.5228333333333334,1.8328333333333335,2.189833333333334,0.0,328578931.4666666,-0.5608,-0.24000000000000019,2.196383231729055,2.5222102813857488,2.5222102813857488,139.76208537192682,65.73541644352812,74.02666892839866,139.76208537192682
322.0,23.0,29.5,2012.0,30.0,972.5166666666667,322.97917792666675,0.22799999999999995,1.695,2.3896666666666664,0.0,328567090.41999996,-0.5597,-0.24000000000000019,2.196304080347592,1.0998116545143668,1.0998116545143668,147.96211387750807,65.73464285919563,82.22747101831244,147.96211387750807
323.0,0.0,29.5,2012.0,30.016666666666666,953.4833333333333,323.0208445683335,0.3245000000000002,1.5476666666666665,2.3721666666666663,0.0,328555242.6450001,-0.5586,-0.24000000000000019,2.196224883990642,1.5651877170783277,1.5651877170783277,143.99902477567653,65.73386878891468,78.26515598676191,143.99902477567653
323.0,1.0,29.5,2012.0,30.0,963.7166666666667,323.0625111650001,-0.17599999999999996,1.2435,2.449500000000001,0.0,328543388.1483334,-0.5575166666666661,-0.24000000000000019,2.196145642702763,-0.8488533187523425,0.937278811610656,164.4040451696879,65.73309423303783,98.67095093665002,140.40404516968786
323.0,2.0,29.5,2012.0,30.0,959.2833333333333,323.1041777783334,-0.022666666666666675,1.635,2.058500000000001,0.0,328531526.9166667,-0.5564166666666671,-0.24000000000000019,2.1960663563948306,-0.10931774191602171,0.2539994858155319,156.44987816623185,65.73231919061105,90.71755897562079,156.44987816623185
323.0,3.0,29.5,2012.0,30.0,954.9,323.1458443883333,-0.1426666666666667,1.1490000000000002,2.099333333333333,0.0,328519658.9633333,-0.5553166666666666,-0.24000000000000019,2.1959870251559717,-0.6879816920292662,0.692804170119311,165.09176431362613,65.73154366242237,99.36022065120375,159.09176431362613
323.0,4.0,29.5,2012.0,30.0,950.4833333333333,323.1875110049999,-0.367,0.3021666666666667,2.3006666666666673,0.0,328507784.2783331,-0.5542333333333327,-0.24000000000000019,2.1959076489193405,-1.7696720113648232,1.7696720113648232,207.30485193523285,65.7307676477353,141.57408428749753,-116.69514806476714
323.0,5.0,29.5,2012.0,30.0,946.0833333333334,323.22917762333316,-0.5168333333333333,0.31750000000000006,2.4268333333333336,0.0,328495902.8783333,-0.5531333333333337,-0.24000000000000019,2.1958282277963463,-2.4919765880839617,2.4919765880839617,211.8985065136995,65.729991147556,146.16851536614345,-136.10149348630054
323.0,6.0,29.5,2012.0,30.0,941.7166666666667,323.2708442416666,-0.26933333333333337,0.3421666666666666,2.4131666666666662,0.0,328484014.7366666,-0.551983333333333,-0.24000000000000019,2.1957487616087343,-1.2985364447215397,1.2985364447215397,194.22292630895774,65.72921416005832,128.49371214889956,-141.77707369104212
323.0,7.0,29.5,2012.0,30.316666666666666,661.2333333333333,323.3125113266667,-0.5031666666666665,0.4791666666666666,2.4141666666666666,0.0,328472119.7433334,-0.5508499999999994,-0.24000000000000019,2.195669249621212,-2.42573203375349,2.436981186179874,199.74495571613315,65.72843667796866,134.01651903816443,-112.25504428386684
