DOY,Magnitude,angle
238.0,2.512387131987934,42.9470399799765
239.0,2.680394952537518,-10.389360170093669
240.0,4.626116273245189,-80.10183826033904
241.0,3.2563516488119952,-93.46962080679153
242.0,3.437662880209763,-94.03667952557839
243.0,1.9664204157858494,-114.05720172829648
244.0,3.4347639578503446,-81.82964156761145
245.0,5.285092945712586,-4.185004422265222
246.0,3.8809648156009398,64.00374163727436
247.0,4.423462441236622,82.0728742146026
248.0,2.8001072025005405,83.29493964529343
249.0,3.975237970939664,84.70112489941104
250.0,2.415457595563905,22.19259224098834
251.0,10.770016233853262,-38.71711888821078
252.0,2.685027076738619,63.92442589147944
253.0,4.170252277368079,-4.941175757530068
254.0,5.329953964084121,92.60240405611005
255.0,2.925538045262489,93.96360962920652
256.0,2.260978766930168,51.52994973228507
257.0,3.110602741379966,75.18226814782815
258.0,2.924368274454607,76.29642064444222
259.0,3.2741242468658527,93.75084235519363
260.0,3.644485001644362,89.45562848185298
261.0,3.925199635605642,83.09082885357024
262.0,3.265529757075609,-27.745528291022588
263.0,5.430566927954292,97.11495372061444
264.0,3.7735871507407333,97.88080323123224
265.0,3.8594429043865484,-62.6662673880541
266.0,3.9666141092024803,-50.03159170708453
267.0,3.5340315441233168,-46.37667034788616
268.0,2.8121703100371302,-81.25192831550548
269.0,2.7323245021010143,-77.89494315353366
270.0,1.5018693572615456,-119.37144348477005
271.0,2.19952774247734,-92.11625338520108
272.0,2.5022354789556687,-75.8886132307363
273.0,2.0024406222305826,-50.68583470174401
274.0,2.2674721465012797,35.91592585889676
275.0,3.300911714853627,59.99732665699904
276.0,5.219490935311866,84.04415331272223
277.0,5.333674520701472,82.69669792266717
278.0,3.075063724860631,81.28808272655357
279.0,2.874615546692181,74.31736343638815
280.0,8.935388547922534,94.11408779905939
281.0,3.0145347064351724,91.06604789751341
282.0,2.5970652610969958,90.71046104427542
283.0,2.7622634161683597,87.45327249634724
284.0,1.6398995845769215,72.36579435349744
285.0,2.9132831629449596,72.72553099521643
286.0,3.8138859382678616,79.31355000271769
287.0,3.4746385377143594,96.9370536637091
288.0,2.8630067900550644,43.789998315239956
289.0,2.7795953088608636,9.099139315534057
290.0,2.33020888267424,5.97937135420567
291.0,2.3980355159783566,49.65465118999403
292.0,1.8511341428442227,80.81013381631871
293.0,2.566242873948579,6.935027892303664
294.0,2.714586948040552,-58.36731543607409
295.0,2.8047610899141926,-77.88582152458875
296.0,3.404337591513657,-72.88871275946319
297.0,3.0815394304816195,-90.1378438224189
298.0,4.405252082672159,-14.408058934569913
299.0,5.182270763820001,123.21415268076758
300.0,3.817754865459408,107.45401001150854
301.0,2.6479297907865718,39.13479324912584
302.0,3.115370077156194,89.37362362587376
303.0,5.0411131996400425,79.38524956488872
304.0,4.627573974244567,88.56721436398674
305.0,3.1449843103459223,48.00049984383583
