DOY,HOUR,MIN,year,SEC,DECIMALDAY,BX(nT),BY(nT),BZ(nT),RANGE,POSNX(km),POSNY(km),POSNZ(km),R^2 Br,Distance from Sun(AU),XCOM(nT)R^2,Magnitude,atan2(y/x),angle,originalangle,CorrectedAngle
312.0,16.0,29.5,2015.0,21.0,312.68739712666667,-0.14283333333333334,-0.2541666666666666,0.03166666666666668,0.0,774107319.8299999,-30.544983333333356,-0.3089999999999999,-3.804079247966667,5.1745141699866375,-3.8244491138270607,3.8244491138270607,-40.089178165509665,79.16816853585853,-119.25734670136822,-40.089178165509665
312.0,17.0,29.5,2015.0,21.0,312.7290637466668,-0.13350000000000004,-0.23483333333333342,-0.02183333333333334,0.0,774119764.5716666,-30.545950000000037,-0.3089999999999999,-3.5556203614500013,5.174597356762484,-3.5746597939292264,3.5746597939292264,-40.38457559765189,79.16833854889428,-119.55291414654612,-40.38457559765189
312.0,18.0,29.5,2015.0,21.0,312.7707303633335,-0.05016666666666668,-0.20783333333333334,0.11483333333333334,0.0,774132207.3516667,-30.546933333333353,-0.3089999999999999,-1.336159102433333,5.174680530425582,-1.3433138906890079,1.6735693635404554,-21.546065979768745,79.16850852985894,-100.71457450962775,-21.546065979768745
312.0,19.0,29.5,2015.0,21.0,312.8123969866668,-0.03633333333333335,-0.2086666666666668,0.1611666666666668,0.0,774144648.1816669,-30.547900000000002,-0.3089999999999999,-0.9677625674000001,5.174763691053927,-0.972944686974382,0.990796643921308,-20.32165552187777,79.16867847891464,-99.49033400079242,-20.32165552187777
312.0,20.0,29.5,2015.0,21.0,312.8540636083333,-0.06633333333333331,-0.23350000000000024,0.15316666666666665,0.0,774157087.0616666,-30.54888333333332,-0.3089999999999999,-1.7668799336833332,5.174846838647508,-1.776341121215375,1.776341121215375,-26.64604068175756,79.1688483960641,-105.81488907782159,-26.64604068175756
312.0,21.0,29.5,2015.0,21.0,312.89573022999974,-0.07499999999999998,-0.25666666666666643,0.09066666666666662,0.0,774169523.9849998,-30.54984999999997,-0.3089999999999999,-1.997797230966667,5.174929973161769,-2.0084949212602257,2.0084949212602257,-27.036489502801796,79.16901828121902,-106.20550778402081,-27.036489502801796
312.0,22.0,29.5,2015.0,21.0,312.93739685666657,-0.06433333333333333,-0.2739999999999998,0.06099999999999999,0.0,774181958.9533333,-30.550833333333312,-0.3089999999999999,-1.7137200414499993,5.1750130946078485,-1.722896571456926,1.722896571456926,-23.962490280396707,79.1691881344048,-103.13167841480147,-23.962490280396707
312.0,23.0,29.5,2015.0,21.0,312.97906347666674,-0.05433333333333333,-0.27983333333333316,0.062000000000000006,0.0,774194391.9666666,-30.55181666666663,-0.3089999999999999,-1.447388957666667,5.175096202985745,-1.4551393531943617,1.4551393531943617,-21.85378247537763,79.16935795562424,-101.02314043100183,-21.85378247537763
313.0,0.0,29.5,2015.0,31.0,313.0208458333332,-0.08366666666666668,-0.27966666666666645,0.047499999999999966,0.0,774206857.566667,-30.55278333333338,-0.30979999999999996,-2.2288732861833336,5.175179529188953,-2.2408083292615677,2.2408083292615677,-27.127551259108927,79.16952821665902,-106.297079475768,-27.127551259108927
313.0,1.0,29.5,2015.0,31.0,313.0625124566665,-0.09166666666666669,-0.28816666666666646,0.007500000000000001,0.0,774219286.6733335,-30.5537666666667,-0.30999999999999994,-2.442062422683333,5.175262611452767,-2.4551390387486816,2.4551390387486816,-28.401719550639637,79.16969797398482,-107.57141752462444,-28.401719550639637
313.0,2.0,29.5,2015.0,31.0,313.1041790816666,-0.06716666666666664,-0.2896666666666666,0.019166666666666676,0.0,774231713.83,-30.554733333333342,-0.30999999999999994,-1.7894194554833331,5.175345680681821,-1.7990013363674988,1.7990013363674988,-23.860554542785717,79.16986769942065,-103.03042224220641,-23.860554542785717
313.0,3.0,29.5,2015.0,31.0,313.1458457016667,-0.042499999999999996,-0.29616666666666674,0.0011666666666666668,0.0,774244139.0316666,-30.555716666666694,-0.30999999999999994,-1.1322972093999997,5.175428736842695,-1.138360369707793,1.165145721248028,-18.98212128950578,79.17003739290098,-98.15215868240686,-18.98212128950578
313.0,4.0,29.5,2015.0,31.0,313.1875123150001,-0.0565,-0.30266666666666675,-0.014500000000000008,0.0,774256562.2799996,-30.556683333333343,-0.30999999999999994,-1.5053462906166668,5.175511779946527,-1.5134070327893814,1.5134070327893814,-21.3330847778402,79.1702070544514,-100.50329183229162,-21.3330847778402
313.0,5.0,29.5,2015.0,31.0,313.22917893666676,-0.03066666666666669,-0.28999999999999987,-0.01950000000000001,0.0,774268983.5799994,-30.557666666666663,-0.30999999999999994,-0.8170819317666667,5.175594810026742,-0.8214571952651916,1.1429030341245183,-16.85825116691272,79.1703766841428,-96.02862785105549,-16.85825116691272
313.0,6.0,29.5,2015.0,31.0,313.27084556333324,0.008833333333333334,-0.2836666666666664,-0.009,0.0,774281402.92,-30.558633333333315,-0.30999999999999994,0.23536319733333333,5.175677827005351,0.2366235067435149,0.45985471933289684,-9.025615425798891,79.17054628181856,-88.19616170761746,-9.025615425798891
313.0,7.0,29.5,2015.0,31.0,313.3125121833333,-0.026500000000000013,-0.26616666666666655,-0.04383333333333333,0.0,774293820.3133334,-30.55961666666663,-0.30999999999999994,-0.7061213649,5.175760830971484,-0.709902463215471,0.9867148482390675,-16.3638122014486,79.17071584766354,-95.53452804911215,-16.3638122014486
313.0,8.0,29.5,2015.0,31.0,313.35417880666654,-0.01950000000000001,-0.10749999999999998,-0.004833333333333341,0.0,774306235.7433333,-30.560583333333295,-0.3104666666666666,-0.5196008695000001,5.175843821813729,-0.5223831984959639,1.3082133613514706,31.017725473925573,79.17088538145283,-48.15315990752726,31.017725473925573
313.0,9.0,29.5,2015.0,31.0,313.39584543,0.11699999999999999,0.17483333333333334,-0.013999999999999997,0.0,774318649.2399999,-30.56156666666663,-0.311,3.1177593648500013,5.175926799732624,3.1344541642765646,3.1344541642765646,135.43519727143857,79.1710548835988,56.26414238783973,135.43519727143857
313.0,10.0,29.5,2015.0,31.0,313.43751204500006,-0.03683333333333334,-0.06033333333333334,-0.07466666666666665,0.0,774331060.7733333,-30.56253333333338,-0.311,-0.98156166,5.176009764527634,-0.9868176701682814,1.7637487168784323,-16.29049290210621,79.17122435369451,-95.46171725580075,-16.29049290210621
313.0,11.0,29.5,2015.0,31.0,313.47917866666677,-0.11200000000000002,-0.1445,-0.07166666666666664,0.0,774343470.35,-30.56350000000003,-0.311,-2.984718842783333,5.17609271624332,-3.000701244421243,3.000701244421243,-48.468108368326675,79.17139379183372,-127.63950216016036,-48.468108368326675
